city_name,date,school_closing,workplace_closing,cancel_events,gatherings_restrictions,transport_closing,stay_home_restrictions,internal_movement_restrictions,international_movement_restrictions,co,dew,humidity,no2,o3,pm10,pm25,precipitation,pressure,so2,temperature,wind gust,wind speed
København,2021-07-06,1.0,2.0,2.0,2.0,0.0,0.0,0.0,3.0,1.7,,77.5,6.9,22.3,18.0,29.0,,1009.3,0.3,19.1,,3.0
København,2021-07-07,1.0,2.0,2.0,2.0,0.0,0.0,0.0,3.0,1.4,,72.5,6.3,21.8,22.0,32.0,,1016.9,0.3,18.9,,3.1
København,2021-07-08,1.0,2.0,2.0,2.0,0.0,0.0,0.0,3.0,1.9,,68.0,8.9,23.0,20.0,34.0,,1022.1,0.2,21.4,,5.5
København,2021-07-09,1.0,2.0,2.0,2.0,0.0,0.0,0.0,3.0,2.2,,68.0,8.6,25.0,24.0,32.0,,1019.5,0.3,21.4,,4.2
København,2021-07-10,1.0,2.0,2.0,2.0,0.0,0.0,0.0,3.0,1.4,,86.0,2.8,21.9,15.0,34.0,,1012.4,0.2,17.7,,4.3
København,2021-07-11,1.0,2.0,2.0,2.0,0.0,0.0,0.0,3.0,1.2,,63.0,3.6,24.2,15.0,29.0,,1019.1,0.2,20.6,,2.2
København,2021-07-12,1.0,2.0,2.0,2.0,0.0,0.0,0.0,3.0,1.6,,63.5,4.4,27.1,26.0,40.0,,1017.5,0.5,21.2,,3.7
København,2021-07-13,1.0,2.0,2.0,2.0,0.0,0.0,0.0,3.0,1.9,,73.0,6.1,28.6,30.0,51.0,,1012.7,0.3,22.9,,3.2
København,2021-07-14,1.0,2.0,2.0,2.0,0.0,0.0,0.0,3.0,2.1,,70.0,7.2,28.7,44.0,62.0,,1011.2,0.3,25.1,,2.1
København,2021-07-15,1.0,2.0,2.0,2.0,0.0,0.0,0.0,3.0,1.9,,63.5,6.8,33.9,29.0,52.0,,1011.9,0.2,26.1,,2.3
