id,date,confirmed,deaths,recovered,tests,vaccines,people_vaccinated,people_fully_vaccinated,hosp,icu,vent,school_closing,workplace_closing,cancel_events,gatherings_restrictions,transport_closing,stay_home_restrictions,internal_movement_restrictions,international_movement_restrictions,information_campaigns,testing_policy,contact_tracing,facial_coverings,vaccination_policy,elderly_people_protection,government_response_index,stringency_index,containment_health_index,economic_support_index,administrative_area_level,administrative_area_level_1,administrative_area_level_2,administrative_area_level_3,latitude,longitude,population,iso_alpha_3,iso_alpha_2,iso_numeric,iso_currency,key_local,key_google_mobility,key_apple_mobility,key_jhu_csse,key_nuts,key_gadm
22e14074,2023-03-08,4748143.0,33843.0,,36805464.0,29627369.0,9266080.0,9168480.0,2100.0,100.0,24.0,,,,,,,,,,,,,,,,,,,1,Belgium,,,50.8333,4.0,11433256.0,BEL,BE,56.0,EUR,,ChIJl5fz7WR9wUcR8g_mObTy60c,Belgium,BE,,BEL
22e14074,2023-03-09,4750183.0,33857.0,,36813021.0,29627729.0,9266096.0,9168495.0,2117.0,108.0,26.0,,,,,,,,,,,,,,,,,,,1,Belgium,,,50.8333,4.0,11433256.0,BEL,BE,56.0,EUR,,ChIJl5fz7WR9wUcR8g_mObTy60c,Belgium,BE,,BEL
22e14074,2023-03-10,4752067.0,33865.0,,36820323.0,29628010.0,9266114.0,9168514.0,2131.0,117.0,30.0,,,,,,,,,,,,,,,,,,,1,Belgium,,,50.8333,4.0,11433256.0,BEL,BE,56.0,EUR,,ChIJl5fz7WR9wUcR8g_mObTy60c,Belgium,BE,,BEL
22e14074,2023-03-11,4752760.0,33871.0,,36824237.0,29628063.0,9266115.0,9168518.0,2182.0,118.0,28.0,,,,,,,,,,,,,,,,,,,1,Belgium,,,50.8333,4.0,11433256.0,BEL,BE,56.0,EUR,,ChIJl5fz7WR9wUcR8g_mObTy60c,Belgium,BE,,BEL
22e14074,2023-03-12,4753228.0,33884.0,,36826875.0,29628065.0,9266115.0,9168518.0,2269.0,117.0,31.0,,,,,,,,,,,,,,,,,,,1,Belgium,,,50.8333,4.0,11433256.0,BEL,BE,56.0,EUR,,ChIJl5fz7WR9wUcR8g_mObTy60c,Belgium,BE,,BEL
22e14074,2023-03-13,4756201.0,33897.0,,36834912.0,29628225.0,9266133.0,9168525.0,2346.0,127.0,30.0,,,,,,,,,,,,,,,,,,,1,Belgium,,,50.8333,4.0,11433256.0,BEL,BE,56.0,EUR,,ChIJl5fz7WR9wUcR8g_mObTy60c,Belgium,BE,,BEL
22e14074,2023-03-14,4758383.0,33906.0,,36843725.0,29628403.0,9266143.0,9168533.0,2347.0,130.0,36.0,,,,,,,,,,,,,,,,,,,1,Belgium,,,50.8333,4.0,11433256.0,BEL,BE,56.0,EUR,,ChIJl5fz7WR9wUcR8g_mObTy60c,Belgium,BE,,BEL
22e14074,2023-03-15,4760275.0,33913.0,,36850797.0,29628576.0,9266155.0,9168547.0,2329.0,132.0,40.0,,,,,,,,,,,,,,,,,,,1,Belgium,,,50.8333,4.0,11433256.0,BEL,BE,56.0,EUR,,ChIJl5fz7WR9wUcR8g_mObTy60c,Belgium,BE,,BEL
22e14074,2023-03-16,4762076.0,33927.0,,36857784.0,29628800.0,9266171.0,9168556.0,2329.0,117.0,39.0,,,,,,,,,,,,,,,,,,,1,Belgium,,,50.8333,4.0,11433256.0,BEL,BE,56.0,EUR,,ChIJl5fz7WR9wUcR8g_mObTy60c,Belgium,BE,,BEL
22e14074,2023-03-17,4763643.0,33942.0,,36864359.0,29629092.0,9266192.0,9168567.0,2279.0,122.0,36.0,,,,,,,,,,,,,,,,,,,1,Belgium,,,50.8333,4.0,11433256.0,BEL,BE,56.0,EUR,,ChIJl5fz7WR9wUcR8g_mObTy60c,Belgium,BE,,BEL
22e14074,2023-03-18,4764322.0,33956.0,,36867972.0,29629173.0,9266196.0,9168571.0,2231.0,121.0,37.0,,,,,,,,,,,,,,,,,,,1,Belgium,,,50.8333,4.0,11433256.0,BEL,BE,56.0,EUR,,ChIJl5fz7WR9wUcR8g_mObTy60c,Belgium,BE,,BEL
22e14074,2023-03-19,4764718.0,33961.0,,36870336.0,29629174.0,9266196.0,9168571.0,2319.0,129.0,37.0,,,,,,,,,,,,,,,,,,,1,Belgium,,,50.8333,4.0,11433256.0,BEL,BE,56.0,EUR,,ChIJl5fz7WR9wUcR8g_mObTy60c,Belgium,BE,,BEL
22e14074,2023-03-20,4767168.0,33972.0,,36877797.0,29629363.0,9266207.0,9168584.0,2347.0,132.0,33.0,,,,,,,,,,,,,,,,,,,1,Belgium,,,50.8333,4.0,11433256.0,BEL,BE,56.0,EUR,,ChIJl5fz7WR9wUcR8g_mObTy60c,Belgium,BE,,BEL
22e14074,2023-03-21,4769004.0,33987.0,,36885604.0,29629530.0,9266224.0,9168593.0,2237.0,125.0,34.0,,,,,,,,,,,,,,,,,,,1,Belgium,,,50.8333,4.0,11433256.0,BEL,BE,56.0,EUR,,ChIJl5fz7WR9wUcR8g_mObTy60c,Belgium,BE,,BEL
22e14074,2023-03-22,4770562.0,34001.0,,36892392.0,29629696.0,9266238.0,9168604.0,2146.0,115.0,34.0,,,,,,,,,,,,,,,,,,,1,Belgium,,,50.8333,4.0,11433256.0,BEL,BE,56.0,EUR,,ChIJl5fz7WR9wUcR8g_mObTy60c,Belgium,BE,,BEL
22e14074,2023-03-23,4772153.0,34013.0,,36898764.0,29629855.0,9266254.0,9168619.0,2106.0,109.0,31.0,,,,,,,,,,,,,,,,,,,1,Belgium,,,50.8333,4.0,11433256.0,BEL,BE,56.0,EUR,,ChIJl5fz7WR9wUcR8g_mObTy60c,Belgium,BE,,BEL
